TID,SDate,TName,SStationID,AStationID,STime,ATime
82,2020-02-21,C5001               ,1599,1621,2020-02-21 07:09:00,2020-02-21 08:46:00
83,2020-02-22,C5001               ,1599,1621,2020-02-22 07:09:00,2020-02-22 08:46:00
84,2020-02-23,C5001               ,1599,1621,2020-02-23 07:09:00,2020-02-23 08:46:00
85,2020-02-24,C5001               ,1599,1621,2020-02-24 07:09:00,2020-02-24 08:46:00
86,2020-02-25,C5001               ,1599,1621,2020-02-25 07:09:00,2020-02-25 08:46:00
87,2020-02-26,C5001               ,1599,1621,2020-02-26 07:09:00,2020-02-26 08:46:00
88,2020-02-27,C5001               ,1599,1621,2020-02-27 07:09:00,2020-02-27 08:46:00
89,2020-02-28,C5001               ,1599,1621,2020-02-28 07:09:00,2020-02-28 08:46:00
90,2020-02-29,C5001               ,1599,1621,2020-02-29 07:09:00,2020-02-29 08:46:00
91,2020-03-01,C5001               ,1599,1621,2020-03-01 07:09:00,2020-03-01 08:46:00
92,2019-12-02,C5003               ,1599,1621,2019-12-02 10:11:00,2019-12-02 11:11:00
93,2019-12-03,C5003               ,1599,1621,2019-12-03 10:11:00,2019-12-03 11:11:00
94,2019-12-04,C5003               ,1599,1621,2019-12-04 10:11:00,2019-12-04 11:11:00
95,2019-12-05,C5003               ,1599,1621,2019-12-05 10:11:00,2019-12-05 11:11:00
96,2019-12-06,C5003               ,1599,1621,2019-12-06 10:11:00,2019-12-06 11:11:00
97,2019-12-07,C5003               ,1599,1621,2019-12-07 10:11:00,2019-12-07 11:11:00
98,2019-12-08,C5003               ,1599,1621,2019-12-08 10:11:00,2019-12-08 11:11:00
99,2019-12-09,C5003               ,1599,1621,2019-12-09 10:11:00,2019-12-09 11:11:00
100,2019-12-10,C5003               ,1599,1621,2019-12-10 10:11:00,2019-12-10 11:11:00
101,2019-12-11,C5003               ,1599,1621,2019-12-11 10:11:00,2019-12-11 11:11:00
102,2019-12-12,C5003               ,1599,1621,2019-12-12 10:11:00,2019-12-12 11:11:00
103,2019-12-13,C5003               ,1599,1621,2019-12-13 10:11:00,2019-12-13 11:11:00
104,2019-12-14,C5003               ,1599,1621,2019-12-14 10:11:00,2019-12-14 11:11:00
105,2019-12-15,C5003               ,1599,1621,2019-12-15 10:11:00,2019-12-15 11:11:00
106,2019-12-16,C5003               ,1599,1621,2019-12-16 10:11:00,2019-12-16 11:11:00
107,2019-12-17,C5003               ,1599,1621,2019-12-17 10:11:00,2019-12-17 11:11:00
108,2019-12-18,C5003               ,1599,1621,2019-12-18 10:11:00,2019-12-18 11:11:00
